ID,Overpayment_Amount,Payment_Date,Dollar_Error1,Dollar_Error2,Dollar_Error3,Citizenship,Age_in_yrs,ZipCodes,Marital_Status,Previous_Felony,Moved_from_out_of_state_12_mths,Income,Dependent_Care_Amount,Medical_Expense_Amount,Child_Support_Amount,Rent_Amount,Monthly_Benefit
ABC989098,233,2/1/2013,233, , ,Verified,58,ZIP5,WI,N,N,1486,0,0,0,0,240
ABC989098,233,3/1/2013,233, , ,Verified,58,ZIP5,WI,N,N,1486,0,0,0,0,240
ABC989122, ,1/1/2013, , , ,Verified,26,ZIP2,,N,Y,0,0,0,0,0,400
ABC989122, ,2/1/2013, , , ,Verified,26,ZIP2,,N,Y,0,0,0,0,0,400
ABC989122, ,3/1/2013, , , ,Verified,26,ZIP2,,N,Y,0,0,0,0,0,400
ABC989205, ,1/1/2013, , , ,Verified,89,ZIP5,WI,N,N,0,0,0,0,0,0
ABC989205, ,2/1/2013, , , ,Verified,89,ZIP5,WI,N,N,0,0,0,0,0,0
ABC989205, ,3/1/2013, , , ,Verified,89,ZIP5,WI,N,N,0,0,0,0,0,0
ABC989215, ,1/1/2013, , , ,Verified,60,ZIP2,NM,N,N,0,0,0,0,0,0
ABC989215, ,2/1/2013, , , ,Verified,60,ZIP2,NM,N,N,0,0,0,0,0,0
ABC989215, ,3/1/2013, , , ,Verified,60,ZIP2,NM,N,N,876,0,0,0,336,32
ABC989217, ,1/1/2013, , , ,Verified,42,ZIP3,NM,N,N,0,0,0,0,0,0
ABC989217, ,2/1/2013, , , ,Verified,42,ZIP3,NM,N,N,0,0,0,0,0,0
ABC989217, ,3/1/2013, , , ,Verified,42,ZIP3,NM,N,N,0,0,0,0,0,0
ABC989249, ,1/1/2013, , , ,Verified,68,ZIP5,DI,N,N,486,0,0,0,670,188
ABC989249, ,2/1/2013, , , ,Verified,68,ZIP5,DI,N,N,486,0,0,0,670,188
ABC989249, ,3/1/2013, , , ,Verified,68,ZIP5,DI,N,N,486,0,0,0,670,188
ABC989265, ,1/1/2013, , , ,Verified,48,ZIP3,NM,N,N,0,0,0,0,0,0
ABC989265, ,2/1/2013, , , ,Verified,48,ZIP3,NM,N,N,0,0,0,0,0,0
ABC989265, ,3/1/2013, , , ,Verified,48,ZIP3,NM,N,N,522,0,0,0,804,166
ABC989303, ,1/1/2013, , , ,Verified,52,ZIP5,MA,N,N,552,0,354,0,804,482
ABC989303, ,2/1/2013, , , ,Verified,52,ZIP5,MA,N,N,820,0,392,0,416,322
ABC989303, ,3/1/2013, , , ,Verified,52,ZIP5,MA,N,N,769,0,392,0,530,352
