ID,,Benefit_Amt
ABC991833,3/1/2013,139
ABC991853,1/1/2013,791
ABC991853,2/1/2013,791
ABC991853,3/1/2013,734
ABC991854,1/1/2013,323
ABC991854,2/1/2013,323
ABC991854,3/1/2013,323
ABC991856,1/1/2013,323
ABC991856,2/1/2013,323
ABC991856,3/1/2013,323
ABC991910,2/1/2013,261
ABC991910,3/1/2013,261
ABC991917,1/1/2013,460
ABC991917,2/1/2013,460
ABC991917,3/1/2013,460
ABC991929,1/1/2013,323
ABC991929,2/1/2013,323
ABC991929,3/1/2013,323
ABC991936,1/1/2013,881
ABC991936,2/1/2013,1075
ABC991936,3/1/2013,1075
ABC991941,2/1/2013,0
ABC991941,3/1/2013,0
ABC991957,1/1/2013,379
ABC991957,2/1/2013,360
ABC991957,3/1/2013,352
ABC992005,1/1/2013,223
ABC992005,2/1/2013,223
ABC992005,3/1/2013,219
ABC992045,1/1/2013,463
ABC992045,2/1/2013,463
ABC992045,3/1/2013,659
ABC992054,1/1/2013,649
ABC992054,2/1/2013,649
ABC992054,3/1/2013,649
ABC992076,1/1/2013,490
ABC992076,2/1/2013,490
ABC992076,3/1/2013,490
ABC992093,1/1/2013,323
ABC992093,2/1/2013,264
ABC992134,1/1/2013,548
ABC992134,2/1/2013,711
ABC992134,3/1/2013,711
ABC992137,1/1/2013,755
ABC992137,2/1/2013,755
ABC992137,3/1/2013,755
ABC992146,1/1/2013,0
ABC992146,2/1/2013,0
ABC992146,3/1/2013,0
ABC992212,1/1/2013,235
ABC992212,2/1/2013,235
ABC992212,3/1/2013,235
ABC992236,1/1/2013,490
ABC992236,2/1/2013,490
ABC992236,3/1/2013,490
ABC992244,1/1/2013,216
ABC992244,2/1/2013,216
ABC992244,3/1/2013,210
ABC992250,1/1/2013,0
ABC992250,2/1/2013,0
ABC992250,3/1/2013,0
ABC992259,1/1/2013,188
ABC992259,2/1/2013,188
ABC992259,3/1/2013,182
ABC992305,1/1/2013,158
ABC992305,2/1/2013,158
ABC992305,3/1/2013,158
ABC992308,2/1/2013,323
ABC992308,3/1/2013,323
ABC992316,1/1/2013,649
ABC992316,3/1/2013,490
ABC992338,1/1/2013,323
ABC992338,2/1/2013,323
ABC992338,3/1/2013,323
ABC992360,1/1/2013,205
ABC992383,1/1/2013,285
ABC992383,2/1/2013,279
ABC992383,3/1/2013,279
ABC992420,1/1/2013,420
ABC992420,2/1/2013,420
ABC992420,3/1/2013,420
ABC992423,1/1/2013,0
ABC992423,2/1/2013,0
ABC992423,3/1/2013,0
ABC992444,1/1/2013,323
ABC992444,2/1/2013,323
ABC992444,3/1/2013,323
ABC992474,1/1/2013,490
ABC992474,2/1/2013,0
ABC992474,3/1/2013,0
ABC992475,1/1/2013,342
ABC992475,2/1/2013,342
ABC992509,1/1/2013,482
ABC992509,2/1/2013,0
ABC992509,3/1/2013,0
ABC992511,1/1/2013,323
ABC992511,2/1/2013,323
ABC992511,3/1/2013,323
ABC992541,1/1/2013,148
ABC992541,3/1/2013,163
ABC992544,2/1/2013,0
ABC992611,1/1/2013,259
ABC992611,2/1/2013,259
ABC992611,3/1/2013,259
ABC992622,1/1/2013,323
ABC992655,1/1/2013,139
ABC992665,1/1/2013,323
ABC992665,2/1/2013,323
ABC992665,3/1/2013,323
ABC992666,1/1/2013,306
ABC992666,2/1/2013,306
ABC992666,3/1/2013,300
ABC992692,2/1/2013,0
ABC992692,3/1/2013,0
ABC992753,1/1/2013,243
ABC992753,2/1/2013,200
ABC992753,3/1/2013,200
ABC992862,1/1/2013,417
ABC992862,2/1/2013,417
ABC992862,3/1/2013,417
ABC992869,1/1/2013,323
ABC992869,2/1/2013,209
ABC992869,3/1/2013,323
ABC992920,1/1/2013,0
ABC992920,2/1/2013,0
ABC992920,3/1/2013,0
ABC992956,1/1/2013,0
ABC992959,1/1/2013,0
ABC992959,2/1/2013,0
ABC992959,3/1/2013,0
ABC992963,1/1/2013,323
ABC992963,2/1/2013,252
ABC992963,3/1/2013,252
ABC992966,2/1/2013,323
ABC992966,3/1/2013,274
ABC993020,1/1/2013,377
ABC993028,1/1/2013,273
ABC993028,2/1/2013,273
ABC993028,3/1/2013,0
ABC993032,2/1/2013,472
ABC993032,3/1/2013,472
ABC993033,2/1/2013,0
ABC993033,3/1/2013,0
ABC993056,2/1/2013,323
ABC993056,3/1/2013,323
ABC993082,1/1/2013,0
ABC993082,2/1/2013,0
ABC993082,3/1/2013,0
ABC993098,2/1/2013,323
ABC993098,3/1/2013,323
ABC993103,2/1/2013,323
ABC993103,3/1/2013,323
ABC993107,1/1/2013,0
ABC993107,2/1/2013,0
ABC993107,3/1/2013,0
ABC993202,1/1/2013,323
ABC993202,2/1/2013,323
ABC993202,3/1/2013,323
ABC993219,2/1/2013,455
ABC993219,3/1/2013,455
ABC993220,2/1/2013,323
ABC993220,3/1/2013,0
ABC993284,1/1/2013,840
ABC993284,2/1/2013,840
ABC993378,1/1/2013,663
ABC993378,2/1/2013,663
ABC993378,3/1/2013,791
ABC993379,1/1/2013,167
ABC993379,2/1/2013,167
ABC993379,3/1/2013,167
ABC993384,1/1/2013,310
ABC993384,2/1/2013,310
ABC993384,3/1/2013,323
ABC993389,1/1/2013,0
ABC993389,2/1/2013,0
ABC993389,3/1/2013,0
ABC993455,1/1/2013,625
ABC993455,2/1/2013,625
ABC993455,3/1/2013,625
ABC993481,1/1/2013,490
ABC993481,2/1/2013,0
ABC993481,3/1/2013,0
ABC993533,1/1/2013,597
ABC993533,2/1/2013,597
ABC993533,3/1/2013,572
ABC993558,1/1/2013,323
ABC993558,2/1/2013,323
ABC993558,3/1/2013,323
ABC993598,3/1/2013,323
ABC993609,1/1/2013,323
ABC993609,2/1/2013,323
ABC993609,3/1/2013,323
ABC993610,1/1/2013,490
ABC993610,2/1/2013,490
ABC993610,3/1/2013,490
ABC993659,1/1/2013,356
ABC993659,2/1/2013,356
ABC993659,3/1/2013,356
ABC993684,1/1/2013,649
ABC993684,2/1/2013,649
ABC993684,3/1/2013,649
ABC993685,2/1/2013,280
ABC993685,3/1/2013,280
ABC993689,1/1/2013,490
ABC993689,2/1/2013,490
ABC993689,3/1/2013,490
ABC993691,1/1/2013,323
ABC993691,2/1/2013,0
ABC993691,3/1/2013,0
ABC993693,3/1/2013,323
ABC993696,1/1/2013,564
ABC993696,2/1/2013,416
ABC993696,3/1/2013,416
ABC993702,1/1/2013,0
ABC993702,3/1/2013,323
ABC993703,1/1/2013,704
ABC993703,2/1/2013,704
