ID,Benefit_Amt,Overpayment_Amount,Payment_Date,Dollar_Error1,Dollar_Error2,Dollar_Error3,Citizenship,Age_in_yrs,ZipCodes,Marital_Status,Previous_Felony,Moved_from_out_of_state_12_mths,Income,Dependent_Care_Amount,Medical_Expense_Amount,Child_Support_Amount,Rent_Amount,Monthly_Benefit,Number_Adults,Number_Children
ABC993107,0, ,1/1/2013, , , ,Verified,34,ZIP2,NM,N,N,0,0,0,0,0,0,2,3
ABC993107,0, ,2/1/2013, , , ,Verified,34,ZIP2,NM,N,N,0,0,0,0,0,0,2,3
ABC993107,0, ,3/1/2013, , , ,Verified,34,ZIP2,NM,N,N,0,0,0,0,0,0,2,3
ABC993202,323, ,1/1/2013, , , ,Unverified,28,ZIP2,NM,N,N,0,0,0,0,0,400,1,0
ABC993202,323, ,2/1/2013, , , ,Unverified,28,ZIP2,NM,N,N,0,0,0,0,0,400,1,0
ABC993202,323, ,3/1/2013, , , ,Unverified,28,ZIP2,NM,N,N,0,0,0,0,0,400,1,0
ABC993219,455, ,2/1/2013, , , ,Verified,26,ZIP1,NM,N,N,0,0,0,0,650,734,2,1
ABC993219,455, ,3/1/2013, , , ,Verified,26,ZIP1,NM,N,N,249,0,0,0,650,664,2,1
ABC993220,323, ,2/1/2013, , , ,Unverified,31,ZIP1,NM,N,Y,0,0,0,0,0,400,1,0
ABC993220,0, ,3/1/2013, , , ,Unverified,31,ZIP1,NM,N,Y,0,0,0,0,0,0,1,0
ABC993284,840, ,1/1/2013, , , ,Verified,27,ZIP2,NM,N,N,387,0,0,0,667,1434,2,3
ABC993284,840, ,2/1/2013, , , ,Verified,27,ZIP2,NM,N,N,387,0,0,0,667,1434,2,3
ABC993378,663, ,1/1/2013, , , ,Verified,25,ZIP1,NM,N,N,559,0,0,0,629,1080,1,4
ABC993378,663, ,2/1/2013, , , ,Verified,25,ZIP1,NM,N,N,559,0,0,0,629,1080,1,4
ABC993378,791, ,3/1/2013, , , ,Verified,25,ZIP1,NM,N,N,0,0,0,0,629,1336,1,4
ABC993379,167, ,1/1/2013, , , ,Unverified,63,ZIP1,NM,N,N,654,0,0,0,0,88,1,0
ABC993379,167, ,2/1/2013, , , ,Unverified,63,ZIP1,NM,N,N,654,0,0,0,0,88,1,0
ABC993379,167, ,3/1/2013, , , ,Unverified,63,ZIP1,NM,N,N,654,0,0,0,0,88,1,0
ABC993384,310, ,1/1/2013, , , ,Unverified,28,ZIP5,NM,N,N,0,0,0,0,0,0,1,0
ABC993384,310, ,2/1/2013, , , ,Unverified,28,ZIP5,NM,N,N,0,0,0,0,0,0,1,0
ABC993384,323, ,3/1/2013, , , ,Unverified,28,ZIP5,NM,N,N,0,0,0,0,286,400,1,0
ABC993389,0, ,1/1/2013, , , ,Verified,26,ZIP5,NM,N,N,0,0,0,0,0,0,2,2
ABC993389,0, ,2/1/2013, , , ,Verified,26,ZIP5,NM,N,N,0,0,0,0,0,0,2,2
ABC993389,0, ,3/1/2013, , , ,Verified,26,ZIP5,NM,N,N,0,0,0,0,0,0,2,2
ABC993455,625, ,1/1/2013, , , ,Verified,27,ZIP1,NM,N,N,688,0,0,0,0,1004,2,2
ABC993455,625, ,2/1/2013, , , ,Verified,27,ZIP1,NM,N,N,688,0,0,0,0,1004,2,2
ABC993455,625, ,3/1/2013, , , ,Verified,27,ZIP1,NM,N,N,688,0,0,0,0,1004,2,2
ABC993481,490, ,1/1/2013, , , ,Unverified,28,ZIP4,MA,N,N,0,0,0,0,1129,734,2,0
