"","ID","Payment_Date","Overpayment_Amount","Dollar_Error1","Dollar_Error2","Dollar_Error3","Citizenship","Age_in_yrs","ZipCodes","Marital_Status","Previous_Felony","Moved_from_out_of_state_12_mths","Income","Dependent_Care_Amount","Medical_Expense_Amount","Child_Support_Amount","Rent_Amount","Monthly_Benefit","Benefit_Amt","No_Adults","No_Children"
"58","ABC989393","2/1/2013",NA,NA,NA,NA,"Verified",36,"ZIP4","MA","N","N",0,0,0,0,1229,1052,649,2,1
"59","ABC989393","3/1/2013",NA,NA,NA,NA,"Verified",36,"ZIP4","MA","N","N",0,0,0,0,1229,1052,649,2,1
"60","ABC989410","1/1/2013",NA,NA,NA,NA,"Verified",65,"ZIP3","NM","N","N",0,0,0,0,0,0,261,1,0
"61","ABC989410","2/1/2013",NA,NA,NA,NA,"Verified",65,"ZIP3","NM","N","N",0,0,0,0,0,0,261,1,0
"62","ABC989410","3/1/2013",NA,NA,NA,NA,"Verified",65,"ZIP3","NM","N","N",0,0,0,0,0,0,261,1,0
"63","ABC989453","2/1/2013",NA,NA,NA,NA,"Verified",37,"ZIP1","NM","N","N",608,436,0,0,636,768,507,1,2
"64","ABC989453","3/1/2013",NA,NA,NA,NA,"Verified",37,"ZIP1","NM","N","N",608,436,0,0,636,768,507,1,2
"65","ABC989463","1/1/2013",NA,NA,NA,NA,"Verified",60,"ZIP1","DI","N","N",241,0,0,0,854,336,291,1,0
"66","ABC989463","2/1/2013",NA,NA,NA,NA,"Verified",60,"ZIP1","DI","N","N",259,0,0,0,854,324,285,1,0
"67","ABC989463","3/1/2013",NA,NA,NA,NA,"Verified",60,"ZIP1","DI","N","N",259,0,0,0,854,324,285,1,0
"68","ABC989487","1/1/2013",NA,NA,NA,NA,"Verified",58,"ZIP2","NM","N","N",250,0,291,0,839,330,288,1,0
"69","ABC989487","2/1/2013",NA,NA,NA,NA,"Verified",58,"ZIP2","NM","N","N",249,0,291,0,839,330,288,1,0
"70","ABC989487","3/1/2013",NA,NA,NA,NA,"Verified",58,"ZIP2","NM","N","N",249,0,291,0,839,330,288,1,0
"71","ABC989496","1/1/2013",233,233,NA,NA,"Verified",74,"ZIP5","NM","N","N",822,0,0,0,641.72,32,0,1,0
"72","ABC989496","2/1/2013",233,233,NA,NA,"Verified",74,"ZIP5","NM","N","N",822,0,0,0,641.72,32,0,1,0
"73","ABC989496","3/1/2013",233,233,NA,NA,"Verified",74,"ZIP5","NM","N","N",822,0,0,0,641.72,32,0,1,0
"74","ABC989517","1/1/2013",NA,NA,NA,NA,"Verified",65,"ZIP3","MA","N","N",351,0,0,0,744,270,258,1,0
"75","ABC989517","2/1/2013",NA,NA,NA,NA,"Verified",65,"ZIP3","MA","N","N",369,0,0,0,744,258,252,1,0
"76","ABC989517","3/1/2013",NA,NA,NA,NA,"Verified",65,"ZIP3","MA","N","N",230,0,0,0,883,342,294,1,0
"77","ABC989542","1/1/2013",NA,NA,NA,NA,"Verified",68,"ZIP3","DI","N","N",293,0,0,0,1211.52,304,275,1,0
"78","ABC989542","2/1/2013",NA,NA,NA,NA,"Verified",68,"ZIP3","DI","N","N",293,0,0,0,1211.52,304,275,1,0
"79","ABC989542","3/1/2013",NA,NA,NA,NA,"Verified",68,"ZIP3","DI","N","N",293,0,0,0,1211.52,304,275,1,0
"80","ABC989546","1/1/2013",NA,NA,NA,NA,"Verified",61,"ZIP1","WI","N","N",0,0,0,0,1154,734,490,2,10
"81","ABC989546","2/1/2013",NA,NA,NA,NA,"Verified",61,"ZIP1","WI","N","N",0,0,0,0,1154,734,490,2,10
"82","ABC989546","3/1/2013",NA,NA,NA,NA,"Verified",61,"ZIP1","WI","N","N",0,0,0,0,1154,734,490,2,10
"83","ABC989579","1/1/2013",NA,NA,NA,NA,"Verified",63,"ZIP4","DI","N","N",538,0,0,0,879,158,219,1,0
"84","ABC989579","2/1/2013",NA,NA,NA,NA,"Verified",63,"ZIP4","DI","N","N",538,0,0,0,879,158,219,1,0
"85","ABC989579","3/1/2013",NA,NA,NA,NA,"Verified",63,"ZIP4","DI","N","N",612,0,0,0,879,112,179,1,0
"86","ABC989597","1/1/2013",NA,NA,NA,NA,"Verified",59,"ZIP5","MA","N","N",0,0,0,0,0,0,0,2,0
"87","ABC989597","2/1/2013",NA,NA,NA,NA,"Verified",59,"ZIP5","MA","N","N",0,0,0,0,0,0,0,2,0
"88","ABC989597","3/1/2013",NA,NA,NA,NA,"Verified",59,"ZIP5","MA","N","N",0,0,0,0,0,0,0,2,0
"89","ABC989606","1/1/2013",NA,NA,NA,NA,"Verified",35,"ZIP2","NM","N","N",0,0,0,0,0,0,554,1,2
"90","ABC989606","2/1/2013",NA,NA,NA,NA,"Verified",35,"ZIP2","NM","N","N",0,0,0,0,0,0,554,1,2
"91","ABC989606","3/1/2013",NA,NA,NA,NA,"Verified",35,"ZIP2","NM","N","N",467,0,0,0,645.76,852,549,1,2
"92","ABC989614","1/1/2013",NA,NA,NA,NA,"Unverified",74,"ZIP3","DI","N","N",539,0,0,0,604,156,201,1,0
"93","ABC989614","2/1/2013",NA,NA,NA,NA,"Unverified",74,"ZIP3","DI","N","N",539,0,0,0,604,156,201,1,0
"94","ABC989614","3/1/2013",NA,NA,NA,NA,"Unverified",74,"ZIP3","DI","N","N",539,0,0,0,604,156,201,1,0
"95","ABC989672","1/1/2013",NA,NA,NA,NA,"Verified",42,"ZIP4","NM","N","N",0,0,0,0,0,0,183,1,0
"96","ABC989672","2/1/2013",NA,NA,NA,NA,"Verified",42,"ZIP4","NM","N","N",604,0,0,0,650,118,182,1,0
"97","ABC989672","3/1/2013",NA,NA,NA,NA,"Verified",42,"ZIP4","NM","N","N",604,0,0,0,650,118,182,1,0
"98","ABC989675","2/1/2013",NA,NA,NA,NA,"Unverified",53,"ZIP3","NM","N","N",716,0,0,0,302,50,148,1,0
"99","ABC989675","3/1/2013",NA,NA,NA,NA,"Unverified",53,"ZIP3","NM","N","N",716,0,0,0,302,50,148,1,0
"100","ABC989680","1/1/2013",NA,NA,NA,NA,"Verified",64,"ZIP3","DI","N","N",307,0,0,177.7,753,296,271,1,0
"101","ABC989680","2/1/2013",NA,NA,NA,NA,"Verified",64,"ZIP3","DI","N","N",325,0,0,177.7,753,286,266,1,0
"102","ABC989680","3/1/2013",NA,NA,NA,NA,"Verified",64,"ZIP3","DI","N","N",325,0,0,177.7,753,286,266,1,0
"103","ABC989703","1/1/2013",NA,NA,NA,NA,"Verified",63,"ZIP2","MA","N","N",381,0,0,0,828.58,586,416,2,0
"104","ABC989703","2/1/2013",NA,NA,NA,NA,"Verified",63,"ZIP2","MA","N","N",381,0,0,0,828.58,586,416,2,0
"105","ABC989703","3/1/2013",NA,NA,NA,NA,"Verified",63,"ZIP2","MA","N","N",398,0,0,0,828.58,576,411,2,0
"106","ABC989724","1/1/2013",NA,NA,NA,NA,"Verified",49,"ZIP5","DI","N","N",0,0,0,0,1004,400,323,1,0
"107","ABC989724","2/1/2013",NA,NA,NA,NA,"Verified",49,"ZIP5","DI","N","N",0,0,0,0,1004,400,323,1,0
"108","ABC989724","3/1/2013",NA,NA,NA,NA,"Verified",49,"ZIP5","DI","N","N",0,0,0,0,1004,400,323,1,0
"109","ABC989737","1/1/2013",NA,NA,NA,NA,"Verified",67,"ZIP1","DI","N","N",0,0,0,0,0,0,285,1,0
"110","ABC989737","2/1/2013",NA,NA,NA,NA,"Verified",67,"ZIP1","DI","N","N",0,0,0,0,0,0,285,1,0
"111","ABC989737","3/1/2013",NA,NA,NA,NA,"Verified",67,"ZIP1","DI","N","N",279,0,0,0,864.07,312,279,1,0
