ID,Overpayment_Amount,Payment_Date,Dollar_Error1,Dollar_Error2,Dollar_Error3,Citizenship,Age_in_yrs,ZipCodes,Marital_Status,Previous_Felony,Moved_from_out_of_state_12_mths,Income,Dependent_Care_Amount,Medical_Expense_Amount,Child_Support_Amount,Rent_Amount,Monthly_Benefit,Benefit_Amt,KEY,No_Adults,No_Children
ABC994539, ,1/1/2013, , , ,Verified,55.0,ZIP5,MA,N,N,622,0,0.0,0.0,1302.0,2710,1184,ABC994539,4,7
ABC994539, ,2/1/2013, , , ,Verified,55.0,ZIP5,MA,N,N,469,0,0.0,0.0,1302.0,2802,1524,ABC994539,4,7
ABC994539, ,3/1/2013, , , ,Verified,55.0,ZIP5,MA,N,N,469,0,0.0,0.0,1302.0,2802,1524,ABC994539,4,7
ABC994587, ,1/1/2013, , , ,Verified,38.0,ZIP2,DI,N,N,320,0,0.0,0.0,804.0,288,267,ABC994587,1,0
ABC994587, ,2/1/2013, , , ,Verified,38.0,ZIP2,DI,N,N,339,0,0.0,0.0,804.0,276,261,ABC994587,1,0
ABC994587, ,3/1/2013, , , ,Verified,38.0,ZIP2,DI,N,N,339,0,0.0,0.0,804.0,276,261,ABC994587,1,0
ABC994601, ,1/1/2013, , , ,Verified,64.0,ZIP4,DI,N,N,0,0,0.0,0.0,0.0,0,0,ABC994601,1,0
ABC994601, ,2/1/2013, , , ,Verified,64.0,ZIP4,DI,N,N,0,0,0.0,0.0,0.0,0,0,ABC994601,1,0
ABC994601, ,3/1/2013, , , ,Verified,64.0,ZIP4,DI,N,N,0,0,0.0,0.0,0.0,0,0,ABC994601,1,0
ABC994622, ,1/1/2013, , , ,Verified,52.0,ZIP4,NM,N,N,0,0,0.0,0.0,1054.0,400,323,ABC994622,1,0
ABC994622, ,2/1/2013, , , ,Verified,52.0,ZIP4,NM,N,N,0,0,0.0,0.0,1054.0,400,323,ABC994622,1,0
ABC994622, ,3/1/2013, , , ,Verified,52.0,ZIP4,NM,N,N,0,0,0.0,0.0,1054.0,400,323,ABC994622,1,0
ABC994679, ,1/1/2013, , , ,Unverified,38.0,ZIP2,NM,N,Y,1045,0,0.0,0.0,1289.0,506,376,ABC994679,1,2
ABC994679, ,2/1/2013, , , ,Unverified,38.0,ZIP2,NM,N,Y,1045,0,0.0,0.0,1289.0,506,376,ABC994679,1,2
ABC994679, ,3/1/2013, , , ,Unverified,38.0,ZIP2,NM,N,Y,1045,0,0.0,0.0,1289.0,506,376,ABC994679,1,2
ABC994688, ,1/1/2013, , , ,Verified,71.0,ZIP4,DI,N,N,0,0,238.9,0.0,771.0,400,323,ABC994688,1,0
ABC994688, ,2/1/2013, , , ,Verified,71.0,ZIP4,DI,N,N,0,0,238.9,0.0,771.0,400,323,ABC994688,1,0
ABC994688, ,3/1/2013, , , ,Verified,71.0,ZIP4,DI,N,N,0,0,238.9,0.0,771.0,400,323,ABC994688,1,0
